"","Network","Pos_loops","Neg_loops","pos_cycle","plast","plast_2","JSD"
"1","miR200_miR200_0_2",3,3,3,0.2219,0.4255,0.00413513061716644
"2","miR200_OVOL2_0_1",4,3,4,0.2593,0.413,0.00367325226360681
"3","miR200_OVOL2_0_2",4,3,4,0.2612,0.5244,0.0976883959290991
"4","miR200_SNAIL_0_1",4,4,4,0.2197,0.4447,0.00786479963299411
"5","miR200_SNAIL_0_2",5,3,5,0.3982,0.5634,0.0100925147753541
"6","miR200_ZEB_2_0",2,1,2,0.2341,0.4528,0.00572994272904252
"7","miR200_ZEB_2_1",3,2,3,0.1894,0.3971,0.0271665488627126
"8","OVOL2_miR200_2_0",3,1,3,0.4351,0.5426,0.0447824707592888
"9","OVOL2_miR200_2_1",4,1,4,0.5604,0.6104,0.0724988212985011
"10","OVOL2_OVOL2_2_0",3,1,NA,NA,NA,NA
"11","OVOL2_OVOL2_2_1",4,1,NA,NA,NA,NA
"12","OVOL2_SNAIL_0_1",3,4,3,0.1623,0.3855,0.0273646661910839
"13","OVOL2_SNAIL_0_2",5,2,5,0.4917,0.6168,0.0185049343142173
"14","OVOL2_ZEB_2_0",2,2,2,0.171,0.2915,0.00433449626091105
"15","OVOL2_ZEB_2_1",2,3,2,0.1032,0.2102,0.0274936334258853
"16","SNAIL_miR200_2_0",3,2,3,0.3023,0.4877,0.00262285735187024
"17","SNAIL_miR200_2_1",3,2,3,0.293,0.5006,0.00746680874124568
"18","SNAIL_OVOL2_0_1",3,2,3,0.2361,0.4537,0.0324468129312345
"19","SNAIL_OVOL2_0_2",3,2,3,0.2532,0.4148,0.00382517798221765
"20","SNAIL_SNAIL_0_1",4,2,4,0.3553,0.5421,0.00861737881123816
"21","SNAIL_SNAIL_0_2",3,3,3,0.2639,0.4553,0.000464121568313587
"22","SNAIL_ZEB_1_0",3,2,3,0.3074,0.5241,0.00118804475255658
"23","SNAIL_ZEB_1_2",3,2,3,0.2849,0.4843,0.007315390849509
"24","WT",3,2,3,0.2503,0.4362,0
"25","ZEB_miR200_2_0",2,2,2,0.0722,0.3091,0.284854757473961
"26","ZEB_miR200_2_1",2,3,2,0.0696,0.2729,0.176367836894495
"27","ZEB_OVOL2_2_0",2,1,2,0.223,0.3082,0.161703561247715
"28","ZEB_OVOL2_2_1",3,2,3,0.2715,0.3487,0.468551388432514
"29","ZEB_SNAIL_0_1",5,2,5,0.6014,0.7333,0.0203801756071295
"30","ZEB_SNAIL_0_2",3,4,3,0.1286,0.3428,0.05433152348247
"31","ZEB_ZEB_1_0",2,2,2,0.18,0.29,0.00850724224185229
"32","ZEB_ZEB_1_2",2,3,2,0.0555,0.1353,0.0566677284583785
"33","OVOL2_OVOL2_0_1",NA,NA,4,0.2835,0.6061,0.018782807292618
"34","OVOL2_OVOL2_0_2",NA,NA,3,0.237,0.3837,0.0265351801048804
"35","miR200_miR200_0_1",NA,NA,4,0.3581,0.5629,0.00268807943188498
