States,RACIPE frequency,Boolean frequency
"""0010""",0.17578916666666541,0.2697
"""0110""",0.07608571428571462,0
"""0001""",0.03248333333333341,0
"""1001""",0.07015666666666681,0
"""1010""",0.12805396825396628,0.2355
"""1110""",0.04208000000000027,0
"""1111""",0.016125952380952317,0
"""1000""",0.031400000000000074,0
"""0101""",0.12865428571428478,0.2288
"""1101""",0.1905853968253957,0.266
"""1011""",0.01086027777777774,0
"""0011""",0.010748611111111084,0
"""1100""",0.02589619047619053,0
"""0000""",0.02327999999999999,0
"""0100""",0.021599999999999973,0
"""0111""",0.01830043650793644,0
